SMARTVOLT UI V7 - HASIL PEMERIKSAAN

Total pemeriksaan: 151
Gagal: 0

[OK] payload/public/assets/css/smartvolt-app.css | CSS braces | balance=0
[OK] payload/public/assets/css/smartvolt-auth.css | CSS braces | balance=0
[OK] payload/public/assets/css/smartvolt-pro.css | CSS braces | balance=0
[OK] payload/resources/views/rooms.blade.php | @if/@hasSection/@endif | 1/1
[OK] payload/resources/views/rooms.blade.php | @foreach/@endforeach | 1/1
[OK] payload/resources/views/rooms.blade.php | @forelse/@endforelse | 1/1
[OK] payload/resources/views/rooms.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/rooms.blade.php | @php/@endphp | 3/3
[OK] payload/resources/views/rooms.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/rooms.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/rooms.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/rooms.blade.php | placeholder | clean
[OK] payload/resources/views/devices.blade.php | @if/@hasSection/@endif | 1/1
[OK] payload/resources/views/devices.blade.php | @foreach/@endforeach | 1/1
[OK] payload/resources/views/devices.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/devices.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/devices.blade.php | @php/@endphp | 2/2
[OK] payload/resources/views/devices.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/devices.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/devices.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/devices.blade.php | placeholder | clean
[OK] payload/resources/views/dashboard.blade.php | @if/@hasSection/@endif | 3/3
[OK] payload/resources/views/dashboard.blade.php | @foreach/@endforeach | 2/2
[OK] payload/resources/views/dashboard.blade.php | @forelse/@endforelse | 1/1
[OK] payload/resources/views/dashboard.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/dashboard.blade.php | @php/@endphp | 2/2
[OK] payload/resources/views/dashboard.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/dashboard.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/dashboard.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/dashboard.blade.php | placeholder | clean
[OK] payload/resources/views/rooms-show.blade.php | @if/@hasSection/@endif | 1/1
[OK] payload/resources/views/rooms-show.blade.php | @foreach/@endforeach | 1/1
[OK] payload/resources/views/rooms-show.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/rooms-show.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/rooms-show.blade.php | @php/@endphp | 2/2
[OK] payload/resources/views/rooms-show.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/rooms-show.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/rooms-show.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/rooms-show.blade.php | placeholder | clean
[OK] payload/resources/views/auth/register.blade.php | @if/@hasSection/@endif | 2/2
[OK] payload/resources/views/auth/register.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/auth/register.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/auth/register.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/auth/register.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/auth/register.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/auth/register.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/auth/register.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/auth/register.blade.php | placeholder | clean
[OK] payload/resources/views/auth/energy-history.blade.php | @if/@hasSection/@endif | 2/2
[OK] payload/resources/views/auth/energy-history.blade.php | @foreach/@endforeach | 2/2
[OK] payload/resources/views/auth/energy-history.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/auth/energy-history.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/auth/energy-history.blade.php | @php/@endphp | 1/1
[OK] payload/resources/views/auth/energy-history.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/auth/energy-history.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/auth/energy-history.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/auth/energy-history.blade.php | placeholder | clean
[OK] payload/resources/views/auth/forgot-password.blade.php | @if/@hasSection/@endif | 2/2
[OK] payload/resources/views/auth/forgot-password.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/auth/forgot-password.blade.php | placeholder | clean
[OK] payload/resources/views/auth/reset_password.blade.php | @if/@hasSection/@endif | 2/2
[OK] payload/resources/views/auth/reset_password.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/auth/reset_password.blade.php | placeholder | clean
[OK] payload/resources/views/auth/login.blade.php | @if/@hasSection/@endif | 2/2
[OK] payload/resources/views/auth/login.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/auth/login.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/auth/login.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/auth/login.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/auth/login.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/auth/login.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/auth/login.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/auth/login.blade.php | placeholder | clean
[OK] payload/resources/views/auth/logout.blade.php | @if/@hasSection/@endif | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/auth/logout.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/auth/logout.blade.php | placeholder | clean
[OK] payload/resources/views/settings/index.blade.php | @if/@hasSection/@endif | 6/6
[OK] payload/resources/views/settings/index.blade.php | @foreach/@endforeach | 2/2
[OK] payload/resources/views/settings/index.blade.php | @forelse/@endforelse | 2/2
[OK] payload/resources/views/settings/index.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/settings/index.blade.php | @php/@endphp | 2/2
[OK] payload/resources/views/settings/index.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/settings/index.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/settings/index.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/settings/index.blade.php | placeholder | clean
[OK] payload/resources/views/layouts/app.blade.php | @if/@hasSection/@endif | 4/4
[OK] payload/resources/views/layouts/app.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/layouts/app.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/layouts/app.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/layouts/app.blade.php | @php/@endphp | 1/1
[OK] payload/resources/views/layouts/app.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/layouts/app.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/layouts/app.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/layouts/app.blade.php | placeholder | clean
[OK] payload/resources/views/components/icon.blade.php | @if/@hasSection/@endif | 0/0
[OK] payload/resources/views/components/icon.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/components/icon.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/components/icon.blade.php | @switch/@endswitch | 1/1
[OK] payload/resources/views/components/icon.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/components/icon.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/components/icon.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/components/icon.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/components/icon.blade.php | placeholder | clean
[OK] payload/resources/views/components/notification-bell.blade.php | @if/@hasSection/@endif | 2/2
[OK] payload/resources/views/components/notification-bell.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/components/notification-bell.blade.php | @forelse/@endforelse | 1/1
[OK] payload/resources/views/components/notification-bell.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/components/notification-bell.blade.php | @php/@endphp | 1/1
[OK] payload/resources/views/components/notification-bell.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/components/notification-bell.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/components/notification-bell.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/components/notification-bell.blade.php | placeholder | clean
[OK] payload/resources/views/components/feature-icon.blade.php | @if/@hasSection/@endif | 1/1
[OK] payload/resources/views/components/feature-icon.blade.php | @foreach/@endforeach | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | @forelse/@endforelse | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | @switch/@endswitch | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | @php/@endphp | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | @isset/@endisset | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | @auth/@endauth | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | @guest/@endguest | 0/0
[OK] payload/resources/views/components/feature-icon.blade.php | placeholder | clean
[OK] payload/resources/views/layouts/app.blade.php | required | exists
[OK] payload/resources/views/dashboard.blade.php | required | exists
[OK] payload/resources/views/auth/energy-history.blade.php | required | exists
[OK] payload/resources/views/rooms.blade.php | required | exists
[OK] payload/resources/views/devices.blade.php | required | exists
[OK] payload/resources/views/settings/index.blade.php | required | exists
[OK] payload/public/assets/css/smartvolt-app.css | required | exists
[OK] payload/public/assets/css/smartvolt-pro.css | required | exists
[OK] payload/public/assets/css/smartvolt-auth.css | required | exists
[OK] payload/public/assets/js/smartvolt-app.js | required | exists
[OK] payload/public/assets/js/smartvolt-dashboard.js | required | exists
[OK] install-smartvolt-ui-v7.ps1 | required | exists
[OK] install-smartvolt-ui-v7.cmd | required | exists
